"filename", "language", "Markdown", "C", "C++", "Lua", "Ini", "YAML", "XML", "Objective-C++", "Shell Script", "Python", "GLSL", "Makefile", "Batch", "HTML", "Groovy", "reStructuredText", "kotlin", "CSS", "Objective-C", "JavaScript", "SCSS", "comment", "blank", "total"
"e:\Development\Orion\Orion-Editor\imgui.ini", "Ini", 0, 0, 0, 0, 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 104
"e:\Development\Orion\Orion-Editor\src\EditLayer2D.h", "C", 0, 96, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 70, 199
"e:\Development\Orion\Orion-Editor\src\EditLayer3D.h", "C", 0, 274, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 150, 475
"e:\Development\Orion\Orion-Editor\src\OrionEditorApp.cpp", "C++", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12, 34
"e:\Development\Orion\Orion-Editor\src\test\Skeleton.cpp", "C++", 0, 0, 133, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 67, 23, 223
"e:\Development\Orion\Orion-Editor\src\test\Skeleton.h", "C", 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17, 59
"e:\Development\Orion\Orion\src\Orion.h", "C", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 20, 56
"e:\Development\Orion\Orion\src\Orion\Core\AdvanceCamerasFamily\CamerasController.cpp", "C++", 0, 0, 99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 23, 123
"e:\Development\Orion\Orion\src\Orion\Core\AdvanceCamerasFamily\CamerasController.h", "C", 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14, 48
"e:\Development\Orion\Orion\src\Orion\Core\AnimationLib2D\AnimationLibrary.cpp", "C++", 0, 0, 187, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 85, 272
"e:\Development\Orion\Orion\src\Orion\Core\AnimationLib2D\AnimationLibrary.h", "C", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 50
"e:\Development\Orion\Orion\src\Orion\Core\Application.cpp", "C++", 0, 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 27, 111
"e:\Development\Orion\Orion\src\Orion\Core\Application.h", "C", 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18, 57
"e:\Development\Orion\Orion\src\Orion\Core\ConstValues.h", "C", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"e:\Development\Orion\Orion\src\Orion\Core\Core.h", "C", 0, 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 13, 98
"e:\Development\Orion\Orion\src\Orion\Core\EntryPoint.h", "C", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 23
"e:\Development\Orion\Orion\src\Orion\Core\Input.h", "C", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 26
