Date : 2022-11-19 19:02:07
Directory : e:\Development\Orion
Total : 2048 files,  421928 codes, 70987 comments, 60319 blanks, all 553234 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| HTML             |        699 |    143,955 |      3,478 |      6,891 |    154,324 |
| C++              |        761 |    130,485 |     26,989 |     28,345 |    185,819 |
| C                |        382 |    124,655 |     39,219 |     20,473 |    184,347 |
| Markdown         |         25 |      5,490 |          0 |      1,792 |      7,282 |
| JavaScript       |         96 |      5,238 |        104 |        176 |      5,518 |
| Objective-C      |          5 |      3,079 |        334 |        709 |      4,122 |
| CSS              |          5 |      2,702 |         98 |        530 |      3,330 |
| Objective-C++    |          6 |      1,986 |        361 |        447 |      2,794 |
| YAML             |         10 |      1,190 |         88 |        221 |      1,499 |
| XML              |          6 |      1,120 |          8 |         13 |      1,141 |
| GLSL             |         12 |        570 |         35 |        271 |        876 |
| Makefile         |         11 |        458 |        223 |        188 |        869 |
| SCSS             |          1 |        330 |         28 |         92 |        450 |
| Lua              |          4 |        310 |          1 |         86 |        397 |
| Ini              |          2 |        126 |          0 |         27 |        153 |
| Batch            |         15 |        102 |         15 |         23 |        140 |
| Groovy           |          3 |         52 |          0 |         10 |         62 |
| kotlin           |          1 |         33 |          0 |          8 |         41 |
| reStructuredText |          1 |         22 |          0 |          6 |         28 |
| Shell Script     |          2 |         13 |          5 |          6 |         24 |
| Python           |          1 |         12 |          1 |          5 |         18 |
+------------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                               | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                  |      2,048 |    421,928 |     70,987 |     60,319 |    553,234 |
| Orion                                                                                                              |      2,033 |    420,664 |     70,721 |     59,787 |    551,172 |
| Orion-Editor                                                                                                       |          6 |        651 |        153 |        290 |      1,094 |
| Orion-Editor\src                                                                                                   |          5 |        565 |        153 |        272 |        990 |
| Orion-Editor\src\test                                                                                              |          2 |        174 |         68 |         40 |        282 |
| Orion\src                                                                                                          |        102 |      6,313 |        244 |      2,296 |      8,853 |
| Orion\src\Orion                                                                                                    |         72 |      4,382 |        154 |      1,561 |      6,097 |
| Orion\src\Orion\Core                                                                                               |         20 |      1,040 |         31 |        309 |      1,380 |
| Orion\src\Orion\Core\AdvanceCamerasFamily                                                                          |          2 |        132 |          2 |         37 |        171 |
| Orion\src\Orion\Core\AnimationLib2D                                                                                |          2 |        222 |          0 |        100 |        322 |
| Orion\src\Orion\Events                                                                                             |          4 |        243 |          1 |         74 |        318 |
| Orion\src\Orion\ImGui                                                                                              |          3 |         99 |         11 |         39 |        149 |
| Orion\src\Orion\Layers                                                                                             |          4 |         91 |          0 |         43 |        134 |
| Orion\src\Orion\Renderer                                                                                           |         41 |      2,909 |        111 |      1,096 |      4,116 |
| Orion\src\Orion\Renderer\Cameras                                                                                   |          6 |        425 |          4 |        181 |        610 |
| Orion\src\Orion\Renderer\GraphicsCore                                                                              |         12 |        524 |          1 |        212 |        737 |
| Orion\src\Orion\Renderer\GraphicsObjects                                                                           |         12 |        757 |         55 |        278 |      1,090 |
| Orion\src\Orion\Renderer\GraphicsObjects\LightCasters                                                              |          6 |        273 |          2 |         92 |        367 |
| Orion\src\Orion\Renderer\GraphicsRendering                                                                         |         11 |      1,203 |         51 |        425 |      1,679 |
| Orion\src\Platform                                                                                                 |         27 |      1,883 |         82 |        709 |      2,674 |
| Orion\src\Platform\OpenGL                                                                                          |         24 |      1,598 |         81 |        619 |      2,298 |
| Orion\src\Platform\OpenGL\DefaultShaders                                                                           |         10 |        538 |         35 |        262 |        835 |
| Orion\src\Platform\Windows                                                                                         |          3 |        285 |          1 |         90 |        376 |
| Orion\vendor                                                                                                       |      1,931 |    414,351 |     70,477 |     57,491 |    542,319 |
| Orion\vendor\GLFW                                                                                                  |        121 |     73,391 |     17,326 |     10,814 |    101,531 |
| Orion\vendor\GLFW\.github                                                                                          |          1 |         80 |          0 |         14 |         94 |
| Orion\vendor\GLFW\.github\workflows                                                                                |          1 |         80 |          0 |         14 |         94 |
| Orion\vendor\GLFW\deps                                                                                             |         15 |     35,343 |      6,536 |      3,432 |     45,311 |
| Orion\vendor\GLFW\deps\glad                                                                                        |          3 |     11,123 |        432 |        861 |     12,416 |
| Orion\vendor\GLFW\deps\mingw                                                                                       |          3 |      2,320 |        273 |        233 |      2,826 |
| Orion\vendor\GLFW\deps\vs2008                                                                                      |          1 |        152 |         55 |         41 |        248 |
| Orion\vendor\GLFW\docs                                                                                             |          8 |      1,597 |         38 |        218 |      1,853 |
| Orion\vendor\GLFW\examples                                                                                         |         11 |      2,811 |        868 |        821 |      4,500 |
| Orion\vendor\GLFW\include                                                                                          |          2 |        736 |      5,989 |        302 |      7,027 |
| Orion\vendor\GLFW\include\GLFW                                                                                     |          2 |        736 |      5,989 |        302 |      7,027 |
| Orion\vendor\GLFW\src                                                                                              |         59 |     26,201 |      3,204 |      4,712 |     34,117 |
| Orion\vendor\GLFW\tests                                                                                            |         20 |      5,880 |        691 |      1,240 |      7,811 |
| Orion\vendor\Glad                                                                                                  |          4 |      7,735 |        210 |        103 |      8,048 |
| Orion\vendor\Glad\include                                                                                          |          2 |      5,250 |        185 |         47 |      5,482 |
| Orion\vendor\Glad\include\KHR                                                                                      |          1 |        117 |        165 |         30 |        312 |
| Orion\vendor\Glad\include\glad                                                                                     |          1 |      5,133 |         20 |         17 |      5,170 |
| Orion\vendor\Glad\src                                                                                              |          1 |      2,461 |         25 |         47 |      2,533 |
| Orion\vendor\assimp                                                                                                |         90 |     10,339 |     11,932 |      3,268 |     25,539 |
| Orion\vendor\assimp\Release                                                                                        |         90 |     10,339 |     11,932 |      3,268 |     25,539 |
| Orion\vendor\assimp\Release\include                                                                                |         90 |     10,339 |     11,932 |      3,268 |     25,539 |
| Orion\vendor\assimp\Release\include\assimp                                                                         |         90 |     10,339 |     11,932 |      3,268 |     25,539 |
| Orion\vendor\assimp\Release\include\assimp\Compiler                                                                |          3 |        624 |        287 |         69 |        980 |
| Orion\vendor\assimp\Release\include\assimp\port                                                                    |          2 |         55 |         92 |         36 |        183 |
| Orion\vendor\assimp\Release\include\assimp\port\AndroidJNI                                                         |          2 |         55 |         92 |         36 |        183 |
| Orion\vendor\glm                                                                                                   |      1,433 |    217,903 |     17,759 |     25,066 |    260,728 |
| Orion\vendor\glm\doc                                                                                               |        796 |    151,793 |      3,676 |      7,592 |    163,061 |
| Orion\vendor\glm\doc\api                                                                                           |        795 |    150,579 |      3,630 |      7,355 |    161,564 |
| Orion\vendor\glm\doc\api\search                                                                                    |        188 |      7,309 |        501 |        304 |      8,114 |
| Orion\vendor\glm\doc\theme                                                                                         |          1 |      1,214 |         46 |        237 |      1,497 |
| Orion\vendor\glm\glm                                                                                               |        426 |     40,388 |     13,192 |     10,226 |     63,806 |
| Orion\vendor\glm\glm\detail                                                                                        |         61 |     16,972 |      1,101 |      3,030 |     21,103 |
| Orion\vendor\glm\glm\ext                                                                                           |        169 |      4,202 |      4,092 |      1,700 |      9,994 |
| Orion\vendor\glm\glm\gtc                                                                                           |         37 |      5,101 |      3,263 |      2,040 |     10,404 |
| Orion\vendor\glm\glm\gtx                                                                                           |        126 |     10,973 |      3,102 |      2,695 |     16,770 |
| Orion\vendor\glm\glm\simd                                                                                          |         10 |      1,425 |        385 |        315 |      2,125 |
| Orion\vendor\glm\test                                                                                              |        207 |     22,623 |        891 |      6,202 |     29,716 |
| Orion\vendor\glm\test\bug                                                                                          |          1 |         23 |          2 |          7 |         32 |
| Orion\vendor\glm\test\cmake                                                                                        |          1 |         19 |          0 |          4 |         23 |
| Orion\vendor\glm\test\core                                                                                         |         55 |      9,034 |        297 |      2,336 |     11,667 |
| Orion\vendor\glm\test\ext                                                                                          |         58 |      4,282 |          8 |      1,297 |      5,587 |
| Orion\vendor\glm\test\gtc                                                                                          |         21 |      4,342 |        220 |      1,161 |      5,723 |
| Orion\vendor\glm\test\gtx                                                                                          |         65 |      4,242 |        364 |      1,157 |      5,763 |
| Orion\vendor\glm\test\perf                                                                                         |          6 |        681 |          0 |        240 |        921 |
| Orion\vendor\imgui                                                                                                 |        136 |     61,915 |     17,872 |     10,078 |     89,865 |
| Orion\vendor\imgui\.github                                                                                         |          6 |        446 |         70 |        142 |        658 |
| Orion\vendor\imgui\.github\workflows                                                                               |          3 |        414 |         70 |        118 |        602 |
| Orion\vendor\imgui\backends                                                                                        |         38 |     11,070 |      2,189 |      1,634 |     14,893 |
| Orion\vendor\imgui\backends\vulkan                                                                                 |          3 |         34 |          4 |         10 |         48 |
| Orion\vendor\imgui\docs                                                                                            |          6 |      1,329 |          0 |        458 |      1,787 |
| Orion\vendor\imgui\examples                                                                                        |         67 |      5,738 |      5,722 |      1,586 |     13,046 |
| Orion\vendor\imgui\examples\example_allegro5                                                                       |          3 |        111 |         49 |         35 |        195 |
| Orion\vendor\imgui\examples\example_android_opengl3                                                                |          6 |        342 |         66 |         90 |        498 |
| Orion\vendor\imgui\examples\example_android_opengl3\android                                                        |          5 |        106 |          0 |         22 |        128 |
| Orion\vendor\imgui\examples\example_android_opengl3\android\app                                                    |          3 |         85 |          0 |         16 |        101 |
| Orion\vendor\imgui\examples\example_android_opengl3\android\app\src                                                |          2 |         54 |          0 |         12 |         66 |
| Orion\vendor\imgui\examples\example_android_opengl3\android\app\src\main                                           |          2 |         54 |          0 |         12 |         66 |
| Orion\vendor\imgui\examples\example_android_opengl3\android\app\src\main\java                                      |          1 |         33 |          0 |          8 |         41 |
| Orion\vendor\imgui\examples\example_apple_metal                                                                    |          4 |        351 |         52 |         79 |        482 |
| Orion\vendor\imgui\examples\example_apple_metal\iOS                                                                |          1 |         26 |          1 |          1 |         28 |
| Orion\vendor\imgui\examples\example_apple_metal\macOS                                                              |          1 |         92 |          1 |          1 |         94 |
| Orion\vendor\imgui\examples\example_apple_opengl2                                                                  |          1 |        171 |         44 |         54 |        269 |
| Orion\vendor\imgui\examples\example_emscripten_opengl3                                                             |          4 |        224 |         82 |         54 |        360 |
| Orion\vendor\imgui\examples\example_emscripten_wgpu                                                                |          3 |        216 |         75 |         69 |        360 |
| Orion\vendor\imgui\examples\example_glfw_metal                                                                     |          2 |        142 |         47 |         48 |        237 |
| Orion\vendor\imgui\examples\example_glfw_opengl2                                                                   |          3 |        147 |         77 |         49 |        273 |
| Orion\vendor\imgui\examples\example_glfw_opengl3                                                                   |          3 |        164 |         81 |         50 |        295 |
| Orion\vendor\imgui\examples\example_glfw_vulkan                                                                    |          3 |        445 |         83 |         82 |        610 |
| Orion\vendor\imgui\examples\example_glut_opengl2                                                                   |          2 |        126 |         64 |         44 |        234 |
| Orion\vendor\imgui\examples\example_null                                                                           |          3 |         87 |         22 |         26 |        135 |
| Orion\vendor\imgui\examples\example_sdl_directx11                                                                  |          2 |        168 |         54 |         37 |        259 |
| Orion\vendor\imgui\examples\example_sdl_metal                                                                      |          2 |        152 |         49 |         46 |        247 |
| Orion\vendor\imgui\examples\example_sdl_opengl2                                                                    |          4 |        174 |         72 |         56 |        302 |
| Orion\vendor\imgui\examples\example_sdl_opengl3                                                                    |          4 |        196 |         81 |         58 |        335 |
| Orion\vendor\imgui\examples\example_sdl_sdlrenderer                                                                |          4 |        154 |         70 |         53 |        277 |
| Orion\vendor\imgui\examples\example_sdl_vulkan                                                                     |          2 |        438 |         80 |         75 |        593 |
